country_name,facility_name,org_unit_uid,data_element_name,year_month,monthly_value,rolling_3_month_avg
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202406,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202407,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202409,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202501,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202502,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202503,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202504,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,,202505,,
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202406,11.0,11.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202407,10.0,10.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202408,0.0,7.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202409,9.0,6.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202410,4.0,4.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202411,133.0,48.666666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202412,4.0,47.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202501,6.0,47.666666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202502,12.0,7.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202503,13.0,10.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202504,21.0,15.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,GeneXpert tests conducted,202505,11.0,15.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202406,43.5,43.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202407,24.9,34.2
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202408,39.3,35.9
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202409,43.9,36.03333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202410,73.3,52.166666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202411,42.6,53.26666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202412,68.5,61.46666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202503,37.2,49.43333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202504,33.8,46.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positivity rate,202505,42.0,37.666666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202406,179.0,179.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202407,0.0,89.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202408,169.0,116.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202409,209.0,126.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202410,117.0,165.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202411,223.0,183.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202412,135.0,158.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202501,109.0,155.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202502,103.0,115.66666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202503,267.0,159.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202504,267.0,212.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Skilled birth attendants,202505,0.0,178.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202406,13.0,13.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202407,7.0,10.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202408,16.0,12.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202409,14.0,12.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202410,16.0,15.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Under-5 outpatient visits,202411,5.0,11.666666666666666
