country_name,facility_name,org_unit_uid,data_element_name,year_month,monthly_value,rolling_3_month_avg
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202406,20.0,20.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202407,10.0,15.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202408,8.0,12.666666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202409,10.0,9.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202410,4.0,7.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202411,0.0,4.666666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202412,12.0,5.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202501,9.0,7.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202502,6.0,9.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202503,9.0,8.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202504,0.0,5.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ANC first visits,202505,26.0,11.666666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202406,113.0,113.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202408,238.0,175.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202409,281.0,210.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202410,,259.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202411,65.0,173.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202412,68.0,66.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202501,229.0,120.66666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202502,233.0,176.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202503,0.0,154.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202504,94.0,109.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,ART patients enrolled,202505,37.0,43.666666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202406,32.8,32.8
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202407,35.7,34.25
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202408,30.3,32.93333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202409,56.1,40.699999999999996
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202410,32.6,39.666666666666664
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202411,35.7,41.46666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202412,74.6,47.63333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202501,54.7,55.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202502,83.5,70.93333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202503,53.7,63.96666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202504,68.8,68.66666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Contraceptive prevalence rate,202505,,61.25
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202406,32.0,32.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202407,160.0,96.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202410,260.0,150.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202411,57.0,159.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202412,279.0,198.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202501,0.0,112.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202502,169.0,149.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202503,56.0,75.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202504,211.0,145.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,DPT3 immunisations,202505,280.0,182.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202406,46.0,46.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202407,4.0,25.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202408,224.0,91.33333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202409,195.0,141.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202410,278.0,232.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202411,70.0,181.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202501,100.0,149.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202502,111.0,93.66666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202503,160.0,123.66666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202504,83.0,118.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Family planning new acceptors,202505,271.0,171.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202406,128.0,128.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202407,166.0,147.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202409,107.0,133.66666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202410,0.0,91.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202411,166.0,91.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202412,102.0,89.33333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202502,173.0,147.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202503,209.0,161.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202504,186.0,189.33333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV positive results,202505,106.0,167.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202406,12.0,12.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202407,8.0,10.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202408,18.0,12.666666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202409,4.0,10.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202410,6.0,9.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202411,26.0,12.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202412,6.0,12.666666666666666
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202501,8.0,13.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202502,13.0,9.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202503,7.0,9.333333333333334
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202504,3.0,7.666666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,HIV self-test kits distributed,202505,6.0,5.333333333333333
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202406,271.0,271.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202407,0.0,135.5
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202408,71.0,114.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202409,0.0,23.666666666666668
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202410,211.0,94.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202412,281.0,164.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202502,296.0,262.6666666666667
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202503,32.0,203.0
Ethiopia,Ramsey Hospital,A8W6O8LHY1e,Measles immunisations,202504,133.0,153.66666666666666
