country_name,period,expected_facilities,reported_facilities,reporting_rate
Ethiopia,202406,111,109,0.9819819819819819
Ethiopia,202407,111,110,0.990990990990991
Ethiopia,202408,111,108,0.972972972972973
Ethiopia,202409,111,109,0.9819819819819819
Ethiopia,202410,111,109,0.9819819819819819
Ethiopia,202411,111,109,0.9819819819819819
Ethiopia,202412,111,109,0.9819819819819819
Ethiopia,202501,111,109,0.9819819819819819
Ethiopia,202502,111,109,0.9819819819819819
Ethiopia,202503,111,108,0.972972972972973
Ethiopia,202504,111,109,0.9819819819819819
Ethiopia,202505,111,108,0.972972972972973
Kenya,202406,115,110,0.9565217391304348
Kenya,202407,115,110,0.9565217391304348
Kenya,202408,115,112,0.9739130434782609
Kenya,202409,115,109,0.9478260869565217
Kenya,202410,115,106,0.9217391304347826
Kenya,202411,115,107,0.9304347826086956
Kenya,202412,115,105,0.9130434782608695
Kenya,202501,115,106,0.9217391304347826
Kenya,202502,115,112,0.9739130434782609
Kenya,202503,115,107,0.9304347826086956
Kenya,202504,115,110,0.9565217391304348
Kenya,202505,115,106,0.9217391304347826
Uganda,202406,115,109,0.9478260869565217
Uganda,202407,115,112,0.9739130434782609
Uganda,202408,115,110,0.9565217391304348
Uganda,202409,115,107,0.9304347826086956
Uganda,202410,115,109,0.9478260869565217
Uganda,202411,115,108,0.9391304347826087
Uganda,202412,115,109,0.9478260869565217
Uganda,202501,115,108,0.9391304347826087
Uganda,202502,115,111,0.9652173913043478
Uganda,202503,115,110,0.9565217391304348
Uganda,202504,115,111,0.9652173913043478
Uganda,202505,115,110,0.9565217391304348
